product_id,source,source_url,retrieved_utc,sha256,file_size_bytes,selection_reason,licence_or_terms
tess2021175071901-s0040-0000010002018424-0211-s_lc,MAST/TESS,https://mast.stsci.edu,2026-07-16T11:18:42.737599+00:00,5b73a1b0e0f23d743d6c9374b5e48d20bf6b43b18e835f4a5c6b03ff633ae3a1,2062080,"deterministic first-3 public TESS Sector 40 SPOC 2-minute LC target sample, sorted by target_name","STScI/MAST public TESS archive data (dataRights=PUBLIC), no proprietary period; standard STScI archive usage terms apply, https://archive.stsci.edu/copyright.html"
tess2021175071901-s0040-0000001001497746-0211-s_lc,MAST/TESS,https://mast.stsci.edu,2026-07-16T11:18:42.737599+00:00,b341db3c1cb0b24071d04fdd93d264e4e4f6ca699d12f778d78ab6eb1bfdbdea,2062080,"deterministic first-3 public TESS Sector 40 SPOC 2-minute LC target sample, sorted by target_name","STScI/MAST public TESS archive data (dataRights=PUBLIC), no proprietary period; standard STScI archive usage terms apply, https://archive.stsci.edu/copyright.html"
tess2021175071901-s0040-0000001001498523-0211-s_lc,MAST/TESS,https://mast.stsci.edu,2026-07-16T11:18:42.737599+00:00,391df368e262c7aeb2898fa83717deaed333173c36d41c44adf5a98cf2dcdee4,2062080,"deterministic first-3 public TESS Sector 40 SPOC 2-minute LC target sample, sorted by target_name","STScI/MAST public TESS archive data (dataRights=PUBLIC), no proprietary period; standard STScI archive usage terms apply, https://archive.stsci.edu/copyright.html"
